Product_ID,Drug_Category,Region,Forecast_30d_Total_Demand,Forecast_Avg_Daily_Demand,Forecast_Std_Daily_Demand,Category_CV,Current_Inventory_Level,Demand_Std_Daily,Safety_Stock,Reorder_Point,Recommended_Stock_Level_30d,Suggested_Order_Qty,Stock_Status,Lead_Time_Days,Service_Level
DRG00025,Diabetes,North,149661.25,4988.71,86.1,0.6,6507,3009.26,13136.89,48057.84,162798.13,156291.13,REORDER NOW,7,95%
DRG00475,Diabetes,West,151017.97,5033.93,91.46,0.6,7983,3036.54,13255.98,48493.5,164273.95,156290.95,REORDER NOW,7,95%
DRG00142,Painkiller,West,145184.12,4839.47,83.11,0.56,641,2687.76,11733.39,45609.68,156917.51,156276.51,REORDER NOW,7,95%
DRG00995,Diabetes,West,145758.34,4858.61,88.27,0.6,2342,2930.78,12794.3,46804.58,158552.64,156210.64,REORDER NOW,7,95%
DRG00622,Vaccine,East,150545.96,5018.2,89.69,0.54,6709,2718.27,11866.57,46993.96,162412.54,155703.54,REORDER NOW,7,95%
DRG00982,Vaccine,North,147658.7,4921.96,86.7,0.54,3744,2666.14,11638.99,46092.68,159297.69,155553.69,REORDER NOW,7,95%
DRG00058,Diabetes,West,149567.04,4985.57,90.58,0.6,7177,3007.36,13128.62,48027.59,162695.66,155518.66,REORDER NOW,7,95%
DRG00219,Vaccine,East,148581.4,4952.71,88.52,0.54,4951,2682.8,11711.72,46380.71,160293.12,155342.12,REORDER NOW,7,95%
DRG00116,Vaccine,West,145963.78,4865.46,90.32,0.54,2280,2635.53,11505.39,45563.6,157469.17,155189.17,REORDER NOW,7,95%
DRG00860,Vaccine,North,149683.49,4989.45,87.88,0.54,6319,2702.7,11798.59,46724.74,161482.08,155163.08,REORDER NOW,7,95%
DRG00726,Painkiller,North,148698.86,4956.63,81.08,0.56,6081,2752.83,12017.44,46713.84,160716.3,154635.3,REORDER NOW,7,95%
DRG00882,Vaccine,North,148021.35,4934.04,86.91,0.54,5253,2672.68,11667.57,46205.89,159688.92,154435.92,REORDER NOW,7,95%
DRG00583,Antibiotic,East,144504.92,4816.83,86.39,0.58,2443,2803.12,12237.01,45954.83,156741.93,154298.93,REORDER NOW,7,95%
DRG00174,Cardiac,East,150418.75,5013.96,81.88,0.53,8006,2679.24,11696.17,46793.88,162114.93,154108.93,REORDER NOW,7,95%
DRG00801,Vaccine,South,147638.34,4921.28,87.47,0.54,5280,2665.77,11637.38,46086.33,159275.72,153995.72,REORDER NOW,7,95%
DRG00525,Painkiller,South,146321.09,4877.37,80.46,0.56,4254,2708.81,11825.27,45966.86,158146.37,153892.37,REORDER NOW,7,95%
DRG00437,Cardiac,West,144472.89,4815.76,81.41,0.53,1905,2573.33,11233.84,44944.18,155706.73,153801.73,REORDER NOW,7,95%
DRG00638,Diabetes,South,142448.69,4748.29,82.68,0.6,1266,2864.23,12503.79,45741.81,154952.47,153686.47,REORDER NOW,7,95%
DRG00419,Antibiotic,North,144126.51,4804.22,84.91,0.58,2755,2795.78,12204.97,45834.49,156331.48,153576.48,REORDER NOW,7,95%
DRG00757,Painkiller,North,143261.97,4775.4,78.12,0.56,1314,2652.18,11578.04,45005.84,154840.02,153526.02,REORDER NOW,7,95%
DRG00029,Cardiac,East,146794.21,4893.14,79.91,0.53,4772,2614.68,11414.34,45666.32,158208.54,153436.54,REORDER NOW,7,95%
DRG00329,Cardiac,North,149982.33,4999.41,80.56,0.53,8334,2671.46,11662.24,46658.12,161644.57,153310.57,REORDER NOW,7,95%
DRG00508,Antibiotic,North,146302.46,4876.75,86.2,0.58,5453,2837.99,12389.23,46526.47,158691.7,153238.7,REORDER NOW,7,95%
DRG00793,Cardiac,North,150284.35,5009.48,80.72,0.53,8743,2676.84,11685.72,46752.07,161970.07,153227.07,REORDER NOW,7,95%
DRG00897,Vaccine,North,143155.8,4771.86,84.05,0.54,1260,2584.83,11284.05,44687.07,154439.86,153179.86,REORDER NOW,7,95%
DRG00574,Painkiller,West,145335.2,4844.51,83.2,0.56,3957,2690.56,11745.6,45657.14,157080.8,153123.8,REORDER NOW,7,95%
DRG00913,Cardiac,North,144697.01,4823.23,77.72,0.53,3011,2577.32,11251.27,45013.9,155948.28,152937.28,REORDER NOW,7,95%
DRG00790,Painkiller,North,147913.53,4930.45,80.65,0.56,7100,2738.29,11953.97,46467.13,159867.5,152767.5,REORDER NOW,7,95%
DRG00807,Cardiac,South,145067.53,4835.58,78.57,0.53,3638,2583.92,11280.08,45129.17,156347.61,152709.61,REORDER NOW,7,95%
DRG00117,Cardiac,West,144110.35,4803.68,81.2,0.53,2913,2566.87,11205.65,44831.4,155316.0,152403.0,REORDER NOW,7,95%
DRG00529,Painkiller,South,145686.75,4856.23,80.11,0.56,5078,2697.06,11774.01,45767.58,157460.76,152382.76,REORDER NOW,7,95%
DRG00792,Vaccine,North,149169.74,4972.32,87.58,0.54,8652,2693.42,11758.09,46564.37,160927.83,152275.83,REORDER NOW,7,95%
DRG00731,Cardiac,South,146638.11,4887.94,79.42,0.53,6258,2611.9,11402.2,45617.76,158040.32,151782.32,REORDER NOW,7,95%
DRG00825,Painkiller,North,148547.84,4951.59,81.0,0.56,8798,2750.03,12005.23,46666.4,160553.07,151755.07,REORDER NOW,7,95%
DRG00145,Cardiac,East,146522.37,4884.08,79.76,0.53,6214,2609.83,11393.2,45581.75,157915.57,151701.57,REORDER NOW,7,95%
DRG00048,Diabetes,South,145500.73,4850.02,84.45,0.6,6776,2925.6,12771.69,46721.86,158272.42,151496.42,REORDER NOW,7,95%
DRG00111,Cardiac,South,142379.42,4745.98,77.11,0.53,2078,2536.04,11071.06,44292.92,153450.47,151372.47,REORDER NOW,7,95%
DRG00657,Painkiller,North,146040.83,4868.03,79.63,0.56,6519,2703.62,11802.62,45878.82,157843.45,151324.45,REORDER NOW,7,95%
DRG00333,Vaccine,South,141291.55,4709.72,83.71,0.54,1516,2551.17,11137.11,44105.14,152428.66,150912.66,REORDER NOW,7,95%
DRG00504,Painkiller,West,147661.77,4922.06,84.53,0.56,8754,2733.63,11933.62,46388.04,159595.4,150841.4,REORDER NOW,7,95%
DRG00750,Diabetes,South,143506.33,4783.54,83.29,0.6,5616,2885.5,12596.62,46081.43,156102.95,150486.95,REORDER NOW,7,95%
DRG00999,Painkiller,South,146562.75,4885.42,80.59,0.56,8700,2713.28,11844.8,46042.78,158407.55,149707.55,REORDER NOW,7,95%
DRG00829,Painkiller,East,146809.63,4893.65,81.15,0.56,9313,2717.85,11864.76,46120.34,158674.39,149361.39,REORDER NOW,7,95%
DRG00537,Cardiac,South,147453.61,4915.12,79.86,0.53,9765,2626.42,11465.61,45871.45,158919.22,149154.22,REORDER NOW,7,95%
DRG00085,Cardiac,South,147604.63,4920.15,79.94,0.53,9960,2629.11,11477.35,45918.43,159081.98,149121.98,REORDER NOW,7,95%
DRG00223,Antibiotic,West,146119.05,4870.64,90.74,0.58,9782,2834.44,12373.7,46468.15,158492.75,148710.75,REORDER NOW,7,95%
DRG00993,Diabetes,East,138132.97,4604.43,80.61,0.6,1722,2777.46,12124.96,44355.99,150257.94,148535.94,REORDER NOW,7,95%
DRG00004,Diabetes,North,142862.58,4762.09,82.19,0.6,6913,2872.56,12540.12,45874.72,155402.7,148489.7,REORDER NOW,7,95%
DRG00932,Cardiac,South,143798.98,4793.3,77.88,0.53,6845,2561.32,11181.44,44734.53,154980.42,148135.42,REORDER NOW,7,95%
DRG00701,Vaccine,North,138985.34,4632.84,81.6,0.54,1829,2509.53,10955.32,43385.23,149940.66,148111.66,REORDER NOW,7,95%
DRG00491,Antibiotic,West,138409.48,4613.65,85.96,0.58,2157,2684.88,11720.84,44016.38,150130.32,147973.32,REORDER NOW,7,95%
DRG00977,Cardiac,East,139031.63,4634.39,75.68,0.53,2039,2476.41,10810.74,43251.45,149842.37,147803.37,REORDER NOW,7,95%
DRG00975,Cardiac,East,145797.46,4859.92,79.36,0.53,9592,2596.92,11336.83,45356.24,157134.29,147542.29,REORDER NOW,7,95%
DRG00747,Antibiotic,South,144226.88,4807.56,85.75,0.58,9148,2797.73,12213.47,45866.41,156440.35,147292.35,REORDER NOW,7,95%
DRG00212,Cardiac,South,138694.59,4623.15,75.11,0.53,2751,2470.41,10784.53,43146.6,149479.12,146728.12,REORDER NOW,7,95%
DRG00411,Painkiller,East,142731.59,4757.72,78.89,0.56,7833,2642.36,11535.18,44839.22,154266.77,146433.77,REORDER NOW,7,95%
DRG00233,Cardiac,South,141231.68,4707.72,76.49,0.53,6484,2515.6,10981.81,43935.87,152213.49,145729.49,REORDER NOW,7,95%
DRG00917,Cardiac,East,137279.77,4575.99,74.73,0.53,2347,2445.21,10674.52,42706.47,147954.29,145607.29,REORDER NOW,7,95%
DRG00352,Vaccine,North,143548.67,4784.96,84.28,0.54,9296,2591.92,11315.02,44809.71,154863.69,145567.69,REORDER NOW,7,95%
DRG00804,Diabetes,East,139523.07,4650.77,81.42,0.6,6226,2805.41,12246.98,44802.36,151770.05,145544.05,REORDER NOW,7,95%
DRG00581,Antibiotic,North,139714.17,4657.14,82.31,0.58,6455,2710.19,11831.32,44431.29,151545.49,145090.49,REORDER NOW,7,95%
DRG00723,Cardiac,West,141693.41,4723.11,79.84,0.53,7747,2523.82,11017.71,44079.51,152711.12,144964.12,REORDER NOW,7,95%
DRG00079,Painkiller,West,138204.41,4606.81,79.12,0.56,4413,2558.55,11169.31,43417.0,149373.71,144960.71,REORDER NOW,7,95%
DRG00481,Painkiller,West,134971.38,4499.05,77.27,0.56,1040,2498.69,10908.02,42401.34,145879.4,144839.4,REORDER NOW,7,95%
DRG00618,Antibiotic,North,141587.91,4719.6,83.42,0.58,8794,2746.54,11989.99,45027.17,153577.9,144783.9,REORDER NOW,7,95%
DRG00959,Painkiller,West,136754.08,4558.47,78.29,0.56,3247,2531.7,11052.09,42961.38,147806.17,144559.17,REORDER NOW,7,95%
DRG00162,Painkiller,North,142023.57,4734.12,77.44,0.56,9227,2629.25,11477.96,44616.79,153501.53,144274.53,REORDER NOW,7,95%
DRG00909,Antibiotic,East,134198.25,4473.28,80.23,0.58,1446,2603.19,11364.22,42677.14,145562.47,144116.47,REORDER NOW,7,95%
DRG00253,Diabetes,West,140710.3,4690.34,85.22,0.6,8955,2829.28,12351.19,45183.6,153061.5,144106.5,REORDER NOW,7,95%
DRG00056,Antibiotic,South,136459.42,4548.65,81.13,0.58,4040,2647.06,11555.7,43396.23,148015.12,143975.12,REORDER NOW,7,95%
DRG00899,Diabetes,West,137717.75,4590.59,83.41,0.6,6112,2769.11,12088.52,44222.66,149806.27,143694.27,REORDER NOW,7,95%
DRG00207,Cardiac,West,134412.36,4480.41,75.74,0.53,1310,2394.13,10451.56,41814.44,144863.92,143553.92,REORDER NOW,7,95%
DRG00165,Vaccine,East,137066.04,4568.87,81.66,0.54,4441,2474.87,10804.04,42786.11,147870.08,143429.08,REORDER NOW,7,95%
DRG00629,Painkiller,West,139775.6,4659.19,80.02,0.56,7705,2587.63,11296.29,43910.59,151071.89,143366.89,REORDER NOW,7,95%
DRG00339,Diabetes,South,139819.7,4660.66,81.15,0.6,9162,2811.37,12273.02,44897.62,152092.72,142930.72,REORDER NOW,7,95%
DRG00009,Painkiller,East,139287.9,4642.93,76.99,0.56,7771,2578.6,11256.87,43757.38,150544.77,142773.77,REORDER NOW,7,95%
DRG00382,Antibiotic,North,134878.72,4495.96,79.46,0.58,3532,2616.39,11421.84,42893.55,146300.57,142768.57,REORDER NOW,7,95%
DRG00945,Diabetes,North,138451.01,4615.03,79.65,0.6,7983,2783.85,12152.88,44458.11,150603.89,142620.89,REORDER NOW,7,95%
DRG00810,Painkiller,West,138295.05,4609.84,79.17,0.56,7551,2560.22,11176.63,43445.48,149471.69,141920.69,REORDER NOW,7,95%
DRG00709,Vaccine,South,136425.68,4547.52,80.83,0.54,5323,2463.31,10753.56,42586.22,147179.25,141856.25,REORDER NOW,7,95%
DRG00436,Cardiac,West,134110.24,4470.34,75.57,0.53,2930,2388.75,10428.07,41720.46,144538.31,141608.31,REORDER NOW,7,95%
DRG00650,Painkiller,East,135119.24,4503.97,74.68,0.56,4483,2501.43,10919.97,42447.79,146039.21,141556.21,REORDER NOW,7,95%
DRG00074,Vaccine,South,135398.11,4513.27,80.22,0.54,4527,2444.76,10672.56,42265.46,146070.67,141543.67,REORDER NOW,7,95%
DRG00950,Painkiller,North,137855.29,4595.18,75.17,0.56,7506,2552.08,11141.09,43307.33,148996.38,141490.38,REORDER NOW,7,95%
DRG00288,Cardiac,West,132418.38,4413.95,74.61,0.53,1355,2358.62,10296.51,41194.13,142714.89,141359.89,REORDER NOW,7,95%
DRG00585,Painkiller,South,138044.47,4601.48,75.91,0.56,8186,2555.58,11156.38,43366.76,149200.85,141014.85,REORDER NOW,7,95%
DRG00471,Diabetes,North,130111.31,4337.04,74.85,0.6,1287,2616.17,11420.84,41780.15,141532.15,140245.15,REORDER NOW,7,95%
DRG00641,Diabetes,South,130572.93,4352.43,75.78,0.6,1988,2625.45,11461.36,41928.38,142034.29,140046.29,REORDER NOW,7,95%
DRG00957,Antibiotic,West,129702.2,4323.41,80.55,0.58,995,2515.98,10983.48,41247.33,140685.68,139690.68,REORDER NOW,7,95%
DRG00328,Painkiller,South,130764.66,4358.82,71.9,0.56,1865,2420.82,10568.05,41079.8,141332.7,139467.7,REORDER NOW,7,95%
DRG00615,Cardiac,East,132809.49,4426.98,72.29,0.53,3713,2365.58,10326.92,41315.8,143136.41,139423.41,REORDER NOW,7,95%
DRG00007,Vaccine,North,135963.26,4532.11,79.83,0.54,7498,2454.96,10717.11,42441.87,146680.37,139182.37,REORDER NOW,7,95%
DRG00565,Painkiller,South,130613.63,4353.79,71.82,0.56,2188,2418.02,10555.84,41032.35,141169.47,138981.47,REORDER NOW,7,95%
DRG00848,Diabetes,West,128468.05,4282.27,77.8,0.6,764,2583.12,11276.6,41252.48,139744.65,138980.65,REORDER NOW,7,95%
DRG00396,Antibiotic,East,131296.67,4376.56,78.5,0.58,3444,2546.91,11118.51,41754.4,142415.17,138971.17,REORDER NOW,7,95%
DRG00336,Diabetes,West,131611.74,4387.06,79.71,0.6,4224,2646.33,11552.55,42261.95,143164.29,138940.29,REORDER NOW,7,95%
DRG00844,Painkiller,South,135054.01,4501.8,74.26,0.56,7219,2500.22,10914.7,42427.3,145968.7,138749.7,REORDER NOW,7,95%
DRG00637,Cardiac,North,129898.11,4329.94,69.77,0.53,1303,2313.72,10100.54,40410.1,139998.65,138695.65,REORDER NOW,7,95%
DRG00070,Cardiac,East,134561.36,4485.38,73.25,0.53,6436,2396.79,10463.14,41860.79,145024.5,138588.5,REORDER NOW,7,95%
DRG00501,Cardiac,East,130604.56,4353.49,71.09,0.53,2324,2326.31,10155.47,40629.87,140760.03,138436.03,REORDER NOW,7,95%
DRG00420,Vaccine,North,137081.43,4569.38,80.49,0.54,9592,2475.15,10805.25,42790.92,147886.68,138294.68,REORDER NOW,7,95%
DRG00963,Cardiac,North,135002.22,4500.07,72.51,0.53,7270,2404.64,10497.42,41997.94,145499.64,138229.64,REORDER NOW,7,95%
DRG00661,Cardiac,West,132025.63,4400.85,74.39,0.53,4233,2351.62,10265.97,41071.95,142291.6,138058.6,REORDER NOW,7,95%
DRG00345,Antibiotic,East,133291.51,4443.05,79.69,0.58,7478,2585.61,11287.43,42388.79,144578.94,137100.94,REORDER NOW,7,95%
DRG00322,Painkiller,West,135636.11,4521.2,77.65,0.56,9747,2511.0,10961.74,42610.17,146597.86,136850.86,REORDER NOW,7,95%
DRG00595,Diabetes,North,129627.85,4320.93,74.57,0.6,4223,2606.44,11378.4,41624.9,141006.26,136783.26,REORDER NOW,7,95%
DRG00149,Diabetes,East,126045.2,4201.51,73.56,0.6,738,2534.41,11063.93,40474.48,137109.13,136371.13,REORDER NOW,7,95%
DRG00224,Vaccine,West,129547.39,4318.25,80.16,0.54,3406,2339.12,10211.39,40439.11,139758.78,136352.78,REORDER NOW,7,95%
DRG00319,Diabetes,North,131984.72,4399.49,75.93,0.6,7273,2653.83,11585.28,42381.72,143570.01,136297.01,REORDER NOW,7,95%
DRG00112,Painkiller,North,132660.04,4422.0,72.34,0.56,7701,2455.9,10721.23,41675.24,143381.27,135680.27,REORDER NOW,7,95%
DRG00069,Diabetes,West,133334.72,4444.49,80.75,0.6,9445,2680.98,11703.78,42815.22,145038.51,135593.51,REORDER NOW,7,95%
DRG00570,Vaccine,East,133801.84,4460.06,79.72,0.54,8931,2415.94,10546.74,41767.17,144348.58,135417.58,REORDER NOW,7,95%
DRG00281,Vaccine,South,133524.3,4450.81,79.11,0.54,8692,2410.92,10524.86,41680.53,144049.16,135357.16,REORDER NOW,7,95%
DRG00430,Vaccine,South,131318.03,4377.27,77.8,0.54,6596,2371.09,10350.96,40991.83,141668.99,135072.99,REORDER NOW,7,95%
DRG00349,Cardiac,East,132930.31,4431.01,72.36,0.53,8265,2367.73,10336.32,41353.39,143266.63,135001.63,REORDER NOW,7,95%
DRG00677,Antibiotic,South,131653.88,4388.46,78.27,0.58,7990,2553.84,11148.76,41867.99,142802.63,134812.63,REORDER NOW,7,95%
DRG00739,Painkiller,South,127079.45,4235.98,69.88,0.56,2715,2352.59,10270.22,39922.09,137349.66,134634.66,REORDER NOW,7,95%
DRG00795,Antibiotic,West,127313.74,4243.79,79.06,0.58,3690,2469.65,10781.22,40487.76,138094.97,134404.97,REORDER NOW,7,95%
DRG00784,Painkiller,North,125863.93,4195.46,68.63,0.56,1660,2330.09,10171.98,39540.23,136035.92,134375.92,REORDER NOW,7,95%
DRG00696,Diabetes,North,125397.57,4179.92,72.14,0.6,2071,2521.39,11007.08,40266.52,136404.65,134333.65,REORDER NOW,7,95%
DRG00690,Antibiotic,West,131032.48,4367.75,81.37,0.58,8154,2541.78,11096.13,41670.38,142128.61,133974.61,REORDER NOW,7,95%
DRG00984,Diabetes,West,131611.74,4387.06,79.71,0.6,9206,2646.33,11552.55,42261.95,143164.29,133958.29,REORDER NOW,7,95%
DRG00027,Antibiotic,North,131947.23,4398.24,77.74,0.58,9272,2559.53,11173.6,41961.29,143120.83,133848.83,REORDER NOW,7,95%
DRG00828,Antibiotic,South,129417.33,4313.91,76.94,0.58,6966,2510.45,10959.36,41156.74,140376.69,133410.69,REORDER NOW,7,95%
DRG00270,Cardiac,West,132146.47,4404.88,74.46,0.53,9258,2353.77,10275.37,41109.55,142421.84,133163.84,REORDER NOW,7,95%
DRG00887,Cardiac,West,124502.88,4150.1,70.15,0.53,1240,2217.63,9681.02,38731.7,134183.91,132943.91,REORDER NOW,7,95%
DRG00370,Antibiotic,West,128371.92,4279.06,79.72,0.58,6357,2490.17,10870.83,40824.28,139242.75,132885.75,REORDER NOW,7,95%
DRG00990,Diabetes,West,126019.6,4200.65,76.32,0.6,4242,2533.89,11061.68,40466.26,137081.28,132839.28,REORDER NOW,7,95%
DRG00914,Antibiotic,West,124743.89,4158.13,77.47,0.58,2688,2419.8,10563.6,39670.51,135307.49,132619.49,REORDER NOW,7,95%
DRG00247,Painkiller,South,128771.02,4292.37,70.81,0.56,6653,2383.91,10406.92,40453.5,139177.94,132524.94,REORDER NOW,7,95%
DRG00351,Cardiac,West,123838.22,4127.94,69.78,0.53,1071,2205.79,9629.34,38524.93,133467.56,132396.56,REORDER NOW,7,95%
DRG00930,Painkiller,East,125241.3,4174.71,69.22,0.56,3108,2318.56,10121.66,39344.63,135362.97,132254.97,REORDER NOW,7,95%
DRG00251,Antibiotic,North,123787.42,4126.25,72.93,0.58,2138,2401.24,10482.61,39366.34,134270.02,132132.02,REORDER NOW,7,95%
DRG00505,Cardiac,South,130720.86,4357.36,70.8,0.53,8952,2328.38,10164.52,40666.05,140885.37,131933.37,REORDER NOW,7,95%
DRG00374,Diabetes,West,122906.14,4096.87,74.43,0.6,1800,2471.29,10788.39,39466.49,133694.53,131894.53,REORDER NOW,7,95%
DRG00989,Vaccine,North,130160.87,4338.7,76.42,0.54,8775,2350.19,10259.75,40630.62,140420.62,131645.62,REORDER NOW,7,95%
DRG00890,Vaccine,East,125792.47,4193.08,74.94,0.54,4180,2271.32,9915.41,39266.99,135707.88,131527.88,REORDER NOW,7,95%
DRG00445,Vaccine,North,128468.51,4282.28,75.43,0.54,7539,2319.64,10126.35,40102.33,138594.85,131055.85,REORDER NOW,7,95%
DRG00032,Vaccine,North,123361.2,4112.04,72.43,0.54,2042,2227.42,9723.77,38508.05,133084.97,131042.97,REORDER NOW,7,95%
DRG00075,Cardiac,South,126462.16,4215.41,68.49,0.53,5316,2252.52,9833.37,39341.21,136295.53,130979.53,REORDER NOW,7,95%
DRG00461,Painkiller,West,128837.69,4294.59,73.76,0.56,8318,2385.14,10412.31,40474.44,139250.0,130932.0,REORDER NOW,7,95%
DRG00623,Painkiller,North,122450.78,4081.69,66.77,0.56,1561,2266.9,9896.14,38467.99,132346.92,130785.92,REORDER NOW,7,95%
DRG00257,Antibiotic,South,128843.08,4294.77,76.6,0.58,9002,2499.31,10910.73,40974.12,139753.81,130751.81,REORDER NOW,7,95%
DRG00561,Diabetes,South,127248.93,4241.63,73.85,0.6,7847,2558.61,11169.59,40861.0,138418.51,130571.51,REORDER NOW,7,95%
DRG00113,Diabetes,South,120993.75,4033.13,70.22,0.6,1207,2432.84,10620.53,38852.4,131614.28,130407.28,REORDER NOW,7,95%
DRG00218,Diabetes,West,127863.5,4262.12,77.44,0.6,8707,2570.97,11223.53,41058.35,139087.03,130380.03,REORDER NOW,7,95%
DRG00280,Cardiac,East,128882.9,4296.1,70.16,0.53,9133,2295.64,10021.6,40094.28,138904.5,129771.5,REORDER NOW,7,95%
DRG00015,Cardiac,East,121905.64,4063.52,66.36,0.53,1644,2171.36,9479.07,37923.72,131384.71,129740.71,REORDER NOW,7,95%
DRG00907,Vaccine,East,129358.91,4311.96,77.07,0.54,9965,2335.71,10196.53,40380.28,139555.44,129590.44,REORDER NOW,7,95%
DRG00131,Antibiotic,South,125186.03,4172.87,74.43,0.58,6424,2428.37,10601.04,39811.12,135787.07,129363.07,REORDER NOW,7,95%
DRG00366,Cardiac,North,125428.24,4180.94,67.37,0.53,5819,2234.11,9752.98,39019.56,135181.21,129362.21,REORDER NOW,7,95%
DRG00118,Diabetes,South,126372.6,4212.42,73.35,0.6,8250,2540.99,11092.67,40579.61,137465.26,129215.26,REORDER NOW,7,95%
DRG00885,Cardiac,South,128213.96,4273.8,69.44,0.53,9145,2283.73,9969.59,39886.18,138183.55,129038.55,REORDER NOW,7,95%
DRG00147,Vaccine,West,124438.05,4147.94,77.0,0.54,5263,2246.86,9808.65,38844.2,134246.71,128983.71,REORDER NOW,7,95%
DRG00109,Painkiller,East,121827.83,4060.93,67.34,0.56,3024,2255.37,9845.79,38272.29,131673.62,128649.62,REORDER NOW,7,95%
DRG00674,Cardiac,West,127463.64,4248.79,71.82,0.53,8787,2270.36,9911.24,39652.76,137374.89,128587.89,REORDER NOW,7,95%
DRG00766,Painkiller,East,128201.66,4273.39,70.86,0.56,9981,2373.37,10360.91,40274.63,138562.57,128581.57,REORDER NOW,7,95%
DRG00624,Diabetes,East,121693.61,4056.45,71.02,0.6,4189,2446.91,10681.96,39077.13,132375.56,128186.56,REORDER NOW,7,95%
DRG00743,Vaccine,South,120075.15,4002.51,71.14,0.54,1364,2168.09,9464.75,37482.29,129539.91,128175.91,REORDER NOW,7,95%
DRG00697,Cardiac,South,123985.47,4132.85,67.15,0.53,5625,2208.41,9640.79,38570.73,133626.26,128001.26,REORDER NOW,7,95%
DRG00229,Antibiotic,East,119841.46,3994.72,71.65,0.58,2068,2324.7,10148.45,38111.46,129989.91,127921.91,REORDER NOW,7,95%
DRG00973,Antibiotic,East,123166.19,4105.54,73.64,0.58,5857,2389.19,10430.0,39168.78,133596.19,127739.19,REORDER NOW,7,95%
DRG00362,Antibiotic,South,121317.41,4043.91,72.13,0.58,3989,2353.33,10273.44,38580.84,131590.85,127601.85,REORDER NOW,7,95%
DRG00350,Antibiotic,South,123009.93,4100.33,73.13,0.58,5904,2386.16,10416.77,39119.08,133426.7,127522.7,REORDER NOW,7,95%
DRG00003,Diabetes,North,121469.46,4048.98,69.88,0.6,4713,2442.4,10662.28,39005.15,132131.74,127418.74,REORDER NOW,7,95%
DRG00042,Vaccine,East,122588.72,4086.29,73.03,0.54,5091,2213.47,9662.88,38266.92,132251.61,127160.61,REORDER NOW,7,95%
DRG00434,Diabetes,West,123359.56,4111.99,74.71,0.6,7090,2480.41,10828.19,39612.09,134187.75,127097.75,REORDER NOW,7,95%
DRG00788,Antibiotic,South,118325.28,3944.18,70.35,0.58,1254,2295.29,10020.06,37629.29,128345.34,127091.34,REORDER NOW,7,95%
DRG00620,Diabetes,South,122655.76,4088.53,71.19,0.6,6331,2466.26,10766.41,39386.09,133422.17,127091.17,REORDER NOW,7,95%
DRG00358,Vaccine,South,119591.59,3986.39,70.85,0.54,2017,2159.35,9426.64,37331.34,129018.23,127001.23,REORDER NOW,7,95%
DRG00153,Diabetes,West,121999.31,4066.64,73.89,0.6,5908,2453.06,10708.79,39175.3,132708.1,126800.1,REORDER NOW,7,95%
DRG01000,Diabetes,East,123416.11,4113.87,72.02,0.6,7450,2481.54,10833.15,39630.25,134249.27,126799.27,REORDER NOW,7,95%
DRG00404,Antibiotic,West,123534.54,4117.82,76.72,0.58,7200,2396.34,10461.19,39285.92,133995.73,126795.73,REORDER NOW,7,95%
